trial_type,perspective_type,statement,perspective,question,response_label_left,response_label_right,required_key
1,1,If I have a red box and you have a blue box,"If I am me and you are you,,",what colour is my box?,Red,Blue,e
1,1,If I have a big box and you have a small box,"If I am me and you are you,",what size is my box?,Big,Small,e
1,1,If I have a heavy box and you have a light box,"If I am me and you are you,",what weight is my box?,Heavy,Light,e
2,1,If I have a red box and you have a blue box,"If I am me and you are you,",what colour is your box?,Red,Blue,i
2,1,If I have a big box and you have a small box,"If I am me and you are you,",what size is your box?,Big,Small,i
2,1,If I have a heavy box and you have a light box,"If I am me and you are you,",what weight is your box?,Heavy,Light,i
3,1,If I have a blue box and you have a red box,"If I am me and you are you,",what colour is my box?,Red,Blue,i
3,1,If I have a small box and you have a big box,"If I am me and you are you,",what size is my box?,Big,Small,i
3,1,If I have a light box and you have a heavy box,"If I am me and you are you,",what weight is my box?,Heavy,Light,i
4,1,If I have a blue box and you have a red box,"If I am me and you are you,",what colour is your box?,Red,Blue,e
4,1,If I have a small box and you have a big box,"If I am me and you are you,",what size is your box?,Big,Small,e
4,1,If I have a light box and you have a heavy box,"If I am me and you are you,",what weight is your box?,Heavy,Light,e
1,2,If I have a red box and you have a blue box,"If I was you and you were me, ",what colour is my box?,Red,Blue,e
1,2,If I have a big box and you have a small box,"If I was you and you were me, ",what size is my box?,Big,Small,e
1,2,If I have a heavy box and you have a light box,"If I was you and you were me, ",what weight is my box?,Heavy,Light,e
2,2,If I have a red box and you have a blue box,"If I was you and you were me, ",what colour is your box?,Red,Blue,i
2,2,If I have a big box and you have a small box,"If I was you and you were me, ",what size is your box?,Big,Small,i
2,2,If I have a heavy box and you have a light box,"If I was you and you were me, ",what weight is your box?,Heavy,Light,i
3,2,If I have a blue box and you have a red box,"If I was you and you were me, ",what colour is my box?,Red,Blue,i
3,2,If I have a small box and you have a big box,"If I was you and you were me, ",what size is my box?,Big,Small,i
3,2,If I have a light box and you have a heavy box,"If I was you and you were me, ",what weight is my box?,Heavy,Light,i
4,2,If I have a blue box and you have a red box,"If I was you and you were me, ",what colour is your box?,Red,Blue,e
4,2,If I have a small box and you have a big box,"If I was you and you were me, ",what size is your box?,Big,Small,e
4,2,If I have a light box and you have a heavy box,"If I was you and you were me, ",what weight is your box?,Heavy,Light,e
