trial_type,perspective_type,statement,perspective,question,response_label_left,response_label_right,required_key
i_you,reversed,I have a green brick and you have a red brick,"If I was you and you were me, ",which brick would I have?,RED,GREEN,e
i_you,reversed,I have a green brick and you have a red brick,"If I was you and you were me, ",which brick would you have?,RED,GREEN,i
i_you,reversed,I have a red brick and you have a green brick,"If I was you and you were me,",which brick would I have?,RED,GREEN,i
i_you,reversed,I have a red brick and you have a green brick,"If I was you and you were me,",which brick would you have?,RED,GREEN,e
i_you,reversed,I am sitting here on the blue chair and you are sitting there on the black chair,"If I was you and you were me,",where would I be siting?,BLACK,BLUE,e
i_you,reversed,I am sitting here on the blue chair and you are sitting there on the black chair,"If I was you and you were me,",where would you be sitting?,BLACK,BLUE,i
i_you,reversed,I am sitting here on the black chair and you are sitting there on the blue chair,"If I was you and you were me,",where would I be sitting?,BLACK,BLUE,i
i_you,reversed,I am sitting here on the black chair and you are sitting there on the blue chair,"If I was you and you were me,",where would you be sitting?,BLACK,BLUE,e
i_you,natural,You have a red brick and I have a green brick,"If I was me, and you were you,",which brick would I have?,RED,GREEN,i
i_you,natural,You have a red brick and I have a green brick,"If I was me, and you were you,",which brick would you have?,RED,GREEN,e
here_there,reversed,I am sitting here on the black chair and you are sitting there on the blue chair,"If here was there and there was here,",where would I be sitting?,BLACK,BLUE,i
here_there,reversed,I am sitting here on the black chair and you are sitting there on the blue chair,"If here was there and there was here,",where would you be sitting?,BLACK,BLUE,e
here_there,reversed,"Yesterday you were sitting there on the black chair, today you were sitting here on the blue chair","If here was there and there was here,",where would you be sitting now?,BLACK,BLUE,e
here_there,reversed,"Yesterday you were sitting there on the black chair, today you were sitting here on the blue chair","If here was there and there was here,",where would you be sitting then?,BLACK,BLUE,i
here_there,reversed,"Yesterday I was sitting there on the blue chair, today I am sitting here on the black chair","If here was there and there was here, ",where would I be sitting now?,BLACK,BLUE,i
here_there,reversed,"Yesterday I was sitting there on the blue chair, today I am sitting here on the black chair","If here was there and there was here, ",where would I be sitting then?,BLACK,BLUE,e
here_there,reversed,"Yesterday you were sitting there on the blue chair, today you are sitting here on the black chair",If here was there and there was here,where would you be sitting now?,BLACK,BLUE,i
here_there,reversed,"Yesterday you were sitting there on the blue chair, today you are sitting here on the black chair",If here was there and there was here,where would you be sitting then?,BLACK,BLUE,e
here_there,natural,You are sitting there on the blue chair and I am sitting here on the black chair,"If here was here and there was there,",where would I be sitting?,BLACK,BLUE,e
here_there,natural,You are sitting there on the blue chair and I am sitting here on the black chair,"If here was here and there was there,",where would you be sitting?,BLACK,BLUE,i
here_there,reversed,"Yesterday I was reading, today I am watching television","If now was then and then was now,",what would I be doing now? ,READING,WATCHING TV,e
now_then,reversed,"Yesterday I was reading, today I am watching television","If now was then and then was now,",what would I be doing then? ,READING,WATCHING TV,i
now_then,reversed,"Yesterday I was watching television, today I am reading","If now was then and then was now, ",what would I be doing now? ,READING,WATCHING TV,i
now_then,reversed,"Yesterday I was watching television, today I am reading","If now was then and then was now, ",what would I be doing then? ,READING,WATCHING TV,e
now_then,reversed,"Yesterday you were watching television, today you are reading","If now was then and then was now, ",what would you be doing now? ,READING,WATCHING TV,i
now_then,reversed,"Yesterday you were watching television, today you are reading","If now was then and then was now, ",what would you be doing then? ,READING,WATCHING TV,e
now_then,reversed,"Yesterday I was sitting there on the black chair, today I am sitting here on the blue chair","If now was then and then was now,",where would I be sitting now? ,BLACK,BLUE,e
now_then,reversed,"Yesterday I was sitting there on the black chair, today I am sitting here on the blue chair","If now was then and then was now,",where would I be sitting then? ,BLACK,BLUE,i
now_then,natural,"Yesterday I was reading, today I am watching television","If now was now and t hen was then,",what would I be doing now? ,READING,WATCHING TV,i
now_then,natural,"Yesterday I was reading, today I am watching television","If now was now and t hen was then,",what would I be doing then? ,READING,WATCHING TV,e
i_you_here_there,double_reversed,I am sitting here on the black chair and you are sitting there on the blue chair,"If I was you and you were me and if here was there and there was here,",where would I be sitting?,BLACK,BLUE,e
i_you_here_there,double_reversed,I am sitting here on the black chair and you are sitting there on the blue chair,"If I was you and you were me and if here was there and there was here,",where would you be sitting?,BLACK,BLUE,i
i_you_here_there,double_reversed,I am sitting here on the black chair and you are sitting there on the blue chair,"If I was you and you were me and if here was there and there was here, ",where would I be sitting?,BLACK,BLUE,e
i_you_here_there,double_reversed,I am sitting here on the black chair and you are sitting there on the blue chair,"If I was you and you were me and if here was there and there was here, ",where would you be sitting?,BLACK,BLUE,i
i_you_here_there,double_reversed,I am sitting here on the blue chair and you are sitting there on the black chair,"If I was you and you were me and if here was there and there was here, ",where would I be sitting?,BLACK,BLUE,i
i_you_here_there,double_reversed,I am sitting here on the blue chair and you are sitting there on the black chair,"If I was you and you were me and if here was there and there was here, ",where would you be sitting?,BLACK,BLUE,e
i_you_here_there,double_reversed,I am sitting here on the blue chair and you are sitting there on the black chair,If I was you and you were me and if here was there and there was here,where would I be sitting?,BLACK,BLUE,i
i_you_here_there,double_reversed,I am sitting here on the blue chair and you are sitting there on the black chair,If I was you and you were me and if here was there and there was here,where would you be sitting?,BLACK,BLUE,e
i_you_here_there,natural,I am sitting here on the black chair and you are sitting there on the blue chair,"If I was you and you were me, and if here was here and there was there,",where would I be sitting?,BLACK,BLUE,i
i_you_here_there,natural,I am sitting here on the black chair and you are sitting there on the blue chair,"If I was you and you were me, and if here was here and there was there,",where would you be sitting?,BLACK,BLUE,e
here_there_now_then,double_reversed,"Yesterday you were sitting there on the black chair, today you are sitting here on the blue chair",If here was there and there was here and if now was then and then was now,where would you be sitting now?,BLACK,BLUE,i
here_there_now_then,double_reversed,"Yesterday you were sitting there on the black chair, today you are sitting here on the blue chair",If here was there and there was here and if now was then and then was now,where would I be sitting then?,BLACK,BLUE,e
here_there_now_then,double_reversed,"Yesterday I was sitting there on the black chair, today I am sitting here on the blue chair","If here was there and there was here and if now was then and then was now,",where would I be sitting now?,BLACK,BLUE,i
here_there_now_then,double_reversed,"Yesterday I was sitting there on the black chair, today I am sitting here on the blue chair","If here was there and there was here and if now was then and then was now,",where would I be sitting then?,BLACK,BLUE,e
here_there_now_then,double_reversed,"Yesterday you were sitting there on the blue chair, today you are sitting here on the black chair","If here was there and there was here and if now was then and then was now,",where would you be sitting now?,BLACK,BLUE,e
here_there_now_then,double_reversed,"Yesterday you were sitting there on the blue chair, today you are sitting here on the black chair","If here was there and there was here and if now was then and then was now,",where would you be sitting then?,BLACK,BLUE,i
here_there_now_then,double_reversed,"Yesterday you were sitting there on the black chair, today you are sitting here on the blue chair","If here was there and there was here and if now was then and then was now,",where would you be sitting now?,BLACK,BLUE,i
here_there_now_then,double_reversed,"Yesterday you were sitting there on the black chair, today you are sitting here on the blue chair","If here was there and there was here and if now was then and then was now,",where would you be sitting then?,BLACK,BLUE,e
here_there_now_then,natural,"Yesterday you were sitting there on the blue chair, today you are sitting here on the black chair","If here was there and there was here and if now was now and then was then,",where would you be sitting now?,BLACK,BLUE,i
here_there_now_then,natural,"Yesterday you were sitting there on the blue chair, today you are sitting here on the black chair","If here was there and there was here and if now was now and then was then,",where would you be sitting then?,BLACK,BLUE,e
